Stratum,Psu,Ssu,Inctot,Age,Sex,Race,Hispanic,Marstat,Ownershg,Yrsusa,School,Educrec,Labforce,Occ,Classwk,VetStat
1,1,1,4105,18,1,2,0,5,0,0,2,7,2,44,22,1
1,1,2,7795,20,1,1,0,5,2,0,1,7,2,8,22,1
1,1,3,16985,24,1,1,0,1,1,0,2,8,2,37,28,1
1,1,4,7045,21,1,1,0,1,2,0,2,7,2,68,22,1
1,1,5,2955,23,1,1,0,5,2,0,2,8,2,13,22,2
1,1,6,0,17,1,1,0,5,1,0,2,5,1,0,0,1
1,1,7,2810,23,1,2,0,1,2,0,1,5,1,0,0,1
1,1,8,0,20,1,1,0,5,1,0,2,8,1,0,0,1
1,1,9,0,16,1,1,0,5,2,0,2,3,1,0,0,1
1,1,10,0,18,1,1,0,5,1,0,1,7,1,0,0,1
1,1,11,2865,20,1,2,0,5,2,0,1,5,2,11,28,1
1,1,12,0,23,1,1,0,5,1,0,1,7,1,0,0,1
1,1,13,24210,24,1,1,0,1,1,0,1,9,2,47,22,1
1,1,14,4005,20,1,1,0,5,2,0,1,3,2,16,22,1
1,1,15,0,15,1,1,0,5,1,0,2,4,0,0,0,0
1,1,16,0,17,1,2,0,5,1,0,2,5,1,11,28,1
1,1,17,2920,22,1,1,0,5,1,0,2,8,2,66,22,1
1,1,18,8530,24,1,1,0,1,2,0,1,7,2,18,25,0
1,1,19,3005,19,1,1,0,5,1,0,1,7,2,8,22,1
1,1,20,1425,15,1,1,0,5,1,0,2,3,0,0,0,0
1,1,21,8005,20,1,1,0,5,1,0,1,4,1,24,22,1
1,1,22,10005,22,1,1,0,5,2,0,1,5,2,12,13,1
1,1,23,6005,20,1,1,0,1,1,0,1,3,2,11,22,1
1,1,24,6005,21,1,2,0,1,2,0,1,5,2,6,22,1
1,1,25,8005,17,1,2,0,5,2,0,2,6,2,8,22,1
1,1,26,8845,23,1,1,0,1,1,0,1,7,2,27,22,1
1,1,27,0,19,1,2,0,5,1,0,1,7,2,0,0,1
1,1,28,9005,19,1,1,0,5,1,0,2,8,2,44,22,1
1,1,29,6605,24,1,1,0,5,1,0,1,8,2,44,22,1
1,1,30,11990,22,1,1,0,5,2,0,1,9,2,86,22,1
1,1,31,14100,16,1,1,0,5,2,0,2,4,2,47,22,1
1,1,32,0,17,1,2,0,5,2,0,1,4,1,18,22,1
1,1,33,0,16,1,2,0,5,1,0,2,5,1,0,0,1
1,1,34,1930,22,1,2,0,5,2,0,2,8,2,47,22,1
1,1,35,4405,21,1,2,0,5,2,0,2,8,2,9,22,1
1,1,36,10005,20,1,1,0,5,1,0,1,7,2,18,22,1
1,1,37,6005,19,1,1,0,5,1,0,1,4,2,19,22,1
1,1,38,4510,20,1,2,0,3,2,0,2,7,2,19,22,1
1,1,39,7005,19,1,2,0,5,2,0,2,7,2,18,22,1
1,1,40,11005,21,1,1,0,5,1,0,1,7,2,36,22,1
1,1,41,7910,21,1,1,0,5,2,0,1,7,2,33,22,1
1,1,42,3110,21,1,1,0,5,2,0,1,7,2,8,22,1
1,1,43,10005,22,1,1,0,1,1,0,1,9,2,63,28,1
1,1,44,8005,21,1,1,0,1,2,0,1,7,2,49,22,1
1,1,45,7355,23,1,1,0,1,1,0,1,5,2,18,13,1
1,1,46,5505,23,1,2,0,5,1,0,1,7,2,18,22,1
1,1,47,13005,24,1,1,0,1,2,0,1,9,2,51,22,1
