Adult,child,preschool,numadults
240,0,0,0
1811,1,0,1
2219,1,1,1
2496,1,0,1
3523,0,0,0
3633,0,0,0
4218,0,0,0
4830,0,0,0
5099,1,1,1
5999,0,0,0
6163,1,1,1
7007,0,0,0
7340,0,0,0
7416,0,0,0
7631,0,0,0
8704,0,0,0
8732,0,0,0
9895,0,0,0
10142,0,0,0
10238,1,1,0
10530,1,1,1
10944,0,0,0
11100,0,0,0
11307,1,1,0
11568,0,0,0
11618,0,0,0
12040,1,1,0
12159,0,0,0
12190,1,1,1
12190,1,0,1
12190,1,1,0
12328,0,0,0
12478,0,0,0
12979,1,0,1
13033,0,0,0
13425,0,0,0
13739,0,0,0
13914,1,0,0
14054,0,0,0
14561,1,1,0
14583,0,0,0
15101,0,0,0
15871,0,0,0
16040,1,1,1
16040,1,0,1
16069,0,0,0
16070,1,1,0
16587,1,0,1
16767,0,0,0
17642,1,0,1
17642,1,0,1
17831,1,0,0
17831,1,0,1
17831,1,1,1
17882,1,1,1
18017,0,0,0
18375,1,1,1
18375,1,0,1
18375,1,0,1
18416,0,0,0
18604,0,0,0
19157,1,1,1
19560,1,1,0
19627,0,0,0
20092,1,1,1
20855,0,0,0
20900,1,0,0
21412,1,0,1
21473,0,0,0
21649,0,0,0
21710,0,0,0
23026,1,0,1
23318,1,0,1
23318,1,1,1
23370,1,1,1
23999,0,0,0
24735,1,0,0
24735,1,0,1
26171,0,0,0
26184,0,0,0
26240,0,0,0
26497,0,0,0
26687,0,0,0
27142,1,0,1
27142,1,1,0
28359,0,0,0
28446,1,0,1
28462,0,0,0
28525,0,0,0
28681,1,1,1
28854,0,0,0
29096,0,0,0
29232,0,0,0
29723,0,0,0
30564,0,0,0
31911,1,0,1
32203,0,0,0
33410,0,0,0
33511,0,0,0
33870,1,1,1
34861,1,1,0
35486,0,0,0
35818,0,0,0
35970,0,0,0
36167,1,1,1
36167,1,0,0
36167,1,0,0
36167,1,0,1
36491,1,0,1
36745,1,1,0
37181,1,0,0
37570,0,0,0
37884,0,0,0
39076,0,0,0
